ratio,rate_primal,rate_dual
0.01,1.122261473,1.046279363
0.01847849797,1.122248241,1.04511413
0.03414548874,1.120290156,1.045010278
0.06309573445,1.109087987,1.05000117
0.1165914401,1.065527792,1.073847398
0.215443469,0.8995459308,1.14114914
0.3981071706,0.6185876944,1.336189439
0.7356422545,0.3091388978,1.841831193
1.359356391,0.1167736465,2.378668557
2.511886432,0.02932373126,2.71828278
4.641588834,0.007111105768,2.84211324
8.576958986,0.00179998383,2.872626726
15.84893192,0.0007362779603,2.876439218
29.28644565,0.0004044357725,2.873165544
54.11695265,0.0002608237057,2.868899943
100,0.0001815449798,2.865130533
