sweep,Eb_primal,Eu_primal,Eb_dual,Eu_dual,time_primal,time_dual
66,0.5196133104,0.519437828,0.9568648449,-0.0111500502,17.85862837,12.39818338
67,0.5139770311,0.51379909,1.021045596,0.05406988537,18.12921364,12.58603464
68,0.5088753679,0.5086902979,0.9871362329,0.04045580529,18.39979892,12.7738859
69,0.5033531652,0.5031608184,1.002561931,-0.01097622853,18.6703842,12.96173717
70,0.4982765664,0.4980528838,0.980817293,-0.0004112283512,18.94096948,13.14958843
71,0.4903537186,0.4901070465,0.9883204179,-0.003438393023,19.21155476,13.33743969
72,0.486369858,0.4861504128,1.002481765,0.0366182333,19.48214004,13.52529096
73,0.4800868422,0.4798503065,0.9768369662,-0.01589958181,19.75272531,13.71314222
74,0.4744807132,0.4741995936,0.9895586614,-0.003298717488,20.02331059,13.90099348
75,0.4677763019,0.4674915409,0.9812237878,0.0005029837994,20.29389587,14.08884475
76,0.4634601748,0.4631880914,0.9763738027,-0.001111379522,20.56448115,14.27669601
77,0.4594231457,0.459170144,0.9430849033,-0.03971710942,20.83506643,14.46454727
78,0.4535565159,0.4532841837,1.026801169,0.03603442728,21.10565171,14.65239854
79,0.4476193393,0.4473110423,0.9689904913,-0.004328374443,21.37623698,14.8402498
80,0.4433184143,0.4430082604,0.9816459476,0.007499944452,21.64682226,15.02810106
81,0.4391878594,0.4389018962,1.001771334,0.02240076317,21.91740754,15.21595233
82,0.4337451498,0.4334655276,0.9628611918,-0.02198976982,22.18799282,15.40380359
83,0.4291964517,0.4289024798,0.9832922745,0.005972957896,22.4585781,15.59165485
84,0.4252169524,0.4248967799,0.968436873,-0.0004869193146,22.72916337,15.77950612
85,0.4213830171,0.4210461728,0.9752278888,-0.001230288188,22.99974865,15.96735738
86,0.4172606816,0.4168868035,0.9379334754,-0.04661287983,23.27033393,16.15520864
87,0.413063002,0.4126773469,0.9591325486,-0.03652294057,23.54091921,16.34305991
88,0.4078844378,0.4075416405,0.971895341,-0.003730387363,23.81150449,16.53091117
89,0.404207071,0.4038567123,1.022610804,0.06456820504,24.08208977,16.71876243
90,0.399890833,0.3995277024,0.9320133481,-0.06539857183,24.35267504,16.9066137
91,0.3953438168,0.3949481668,0.9610209361,0.001559298048,24.62326032,17.09446496
92,0.3895208046,0.3891785655,0.9743017079,0.001496289965,24.8938456,17.28231622
93,0.3840303836,0.3836847966,0.9701549052,0.01257979733,25.16443088,17.47016749
94,0.3804418796,0.3800976393,0.9922516373,0.01160907583,25.43501616,17.65801875
95,0.3769570391,0.3766703046,0.9886343548,0.01291451084,25.70560144,17.84587001
96,0.3721971122,0.371909807,0.9446175915,-0.009247387185,25.97618671,18.03372128
97,0.3677632277,0.3675140316,1.012897741,0.04064893793,26.24677199,18.22157254
98,0.3653217078,0.3650933273,0.9762517241,0.0422070973,26.51735727,18.4094238
99,0.3605147832,0.3602783532,0.9826992203,0.01407282911,26.78794255,18.59727507
100,0.3568095115,0.3565601288,0.9947783851,0.01335745188,27.05852783,18.78512633
101,0.3535662814,0.3533021737,1.010248719,0.0489120082,27.32911311,18.97297759
102,0.3478936079,0.3476161223,0.953759225,0.0285165167,27.59969838,19.16082886
103,0.3447193864,0.3444331075,1.002579542,0.00687361254,27.87028366,19.34868012
104,0.3417728247,0.3415124552,0.9962917373,0.0194625481,28.14086894,19.53653138
105,0.3396561828,0.3393753827,0.9859545073,-0.02915009308,28.41145422,19.72438264
106,0.3356361094,0.3353986119,1.013760098,0.008095115849,28.6820395,19.91223391
107,0.3322011402,0.3320080315,0.9926031573,0.06361704572,28.95262478,20.10008517
108,0.3303891132,0.3301877581,0.9683858349,-0.009131532373,29.22321005,20.28793643
109,0.3273707091,0.3271673037,0.9801957635,-0.01644102488,29.49379533,20.4757877
110,0.3263091676,0.3260919257,0.977266815,0.009098861549,29.76438061,20.66363896
111,0.3230277016,0.3228247057,1.014326941,0.02323837655,30.03496589,20.85149022
112,0.3212598022,0.3210676423,0.9550437905,-0.05914072036,30.30555117,21.03934149
113,0.3194709771,0.3192619375,0.9781405106,-0.03380184344,30.57613644,21.22719275
114,0.3159672192,0.3157567342,0.9550504368,-0.02804683693,30.84672172,21.41504401
115,0.3131108047,0.3128495983,0.969117076,-0.02470900259,31.117307,21.60289528
116,0.3092581835,0.3090234741,0.9855673686,0.003345757035,31.38789228,21.79074654
117,0.3067862402,0.3065165917,0.9903094785,0.01352642288,31.65847756,21.9785978
118,0.303355114,0.3031106793,0.9906656436,-0.00766288001,31.92906284,22.16644907
119,0.299610075,0.2993639995,0.9886114388,-0.01197183065,32.19964811,22.35430033
120,0.2967736869,0.2964779101,0.98693811,-0.003223005162,32.47023339,22.54215159
121,0.2950462924,0.294708335,0.9608346402,-0.01289721872,32.74081867,22.73000286
122,0.2926771695,0.2923853043,0.9839256026,-0.01279788913,33.01140395,22.91785412
123,0.2888805944,0.288565899,0.9754215721,0.02539698474,33.28198923,23.10570538
124,0.2850450727,0.2847295715,0.9981844292,0.008820085727,33.55257451,23.29355665
125,0.2806317755,0.2803073155,1.003812155,0.01524172813,33.82315978,23.48140791
126,0.2779124673,0.2775485464,0.971752559,-0.03972218406,34.09374506,23.66925917
127,0.2744888694,0.2741665082,0.9814188269,0.04455689386,34.36433034,23.85711044
128,0.2712579556,0.2709463466,0.9824779808,0.01235010593,34.63491562,24.0449617
129,0.2692567885,0.2689418415,0.9607232127,0.01571208577,34.9055009,24.23281296
130,0.2663726876,0.2660215974,0.9498820065,-0.02913162511,35.17608618,24.42066423
131,0.2621820214,0.2618442292,0.972923475,-0.02488012338,35.44667145,24.60851549
132,0.259717047,0.2594023952,0.9714807975,-0.008181632383,35.71725673,24.79636675
133,0.2573285093,0.2569579027,1.014401411,0.04204177931,35.98784201,24.98421802
134,0.2559628077,0.2555715049,0.9715605742,-0.02158440336,36.25842729,25.17206928
135,0.253714377,0.2533113648,0.9664446528,-0.009103884617,36.52901257,25.35992054
136,0.2493970171,0.2490696863,0.9957209661,0.01639161852,36.79959785,25.54777181
137,0.2468197286,0.2464569115,0.994193554,-0.003314814519,37.07018312,25.73562307
138,0.2447978536,0.2444294259,0.9903146086,0.03885639758,37.3407684,25.92347433
139,0.2419225459,0.2416071241,0.998876835,0.003845828725,37.61135368,26.1113256
140,0.2391674822,0.2388323789,1.012740552,0.03957891411,37.88193896,26.29917686
141,0.2352909752,0.2349969593,0.9780787504,-0.03054723874,38.15252424,26.48702812
142,0.2340535618,0.2337948551,0.9851629496,0.0009559033426,38.42310951,26.67487939
143,0.2315110743,0.2311978549,0.9871427533,0.01135095567,38.69369479,26.86273065
144,0.227836907,0.2275257298,0.9793524708,-0.004750862443,38.96428007,27.05058191
145,0.2246881075,0.2244002042,0.9817461984,0.009223332984,39.23486535,27.23843318
146,0.2237154443,0.2234437561,0.9854148335,0.02201767758,39.50545063,27.42628444
147,0.2205208686,0.220246755,0.965590143,-0.05401472149,39.77603591,27.6141357
148,0.2192582407,0.2189901655,1.000615253,0.0001441106043,40.04662118,27.80198697
149,0.2160539348,0.215738464,0.9746279513,-0.003798421806,40.31720646,27.98983823
150,0.2111117919,0.2108005224,0.987139565,0.0234295798,40.58779174,28.17768949
151,0.2097570852,0.2094722123,0.9831163914,-0.007944193003,40.85837702,28.36554076
152,0.2072251647,0.2069848544,1.024128056,0.06213369375,41.1289623,28.55339202
153,0.2058948264,0.2056568318,0.9376774335,-0.03679902412,41.39954758,28.74124328
154,0.2036723152,0.2034602907,0.9462895263,-0.05137816094,41.67013285,28.92909455
155,0.200725037,0.2004949044,1.008251905,0.02303194216,41.94071813,29.11694581
156,0.1988291781,0.1986286038,0.9710745155,0.02008885231,42.21130341,29.30479707
157,0.1971811931,0.1969639864,0.9948243841,0.01611853308,42.48188869,29.49264834
158,0.1962556891,0.1960133171,1.010084084,0.03792867212,42.75247397,29.6804996
159,0.1950025419,0.1948048435,0.9555518595,-0.03580619924,43.02305925,29.86835086
160,0.1923270989,0.1921638941,0.9579348642,-0.01238599509,43.29364452,30.05620213
161,0.1922877104,0.192113128,0.9546298774,-0.03587807534,43.5642298,30.24405339
162,0.1910761371,0.1908875988,0.9833814377,0.02643897013,43.83481508,30.43190465
163,0.1887734489,0.1885787893,0.9992577638,0.0227964754,44.10540036,30.61975592
164,0.186781215,0.1865860269,0.9705197295,-0.0388672109,44.37598564,30.80760718
165,0.1841519047,0.1839807885,0.985273507,-0.04269030412,44.64657091,30.99545844
166,0.1822146013,0.1820373593,0.9602702557,-0.01558596199,44.91715619,31.18330971
167,0.1798651282,0.1797064516,1.020307542,0.01882141093,45.18774147,31.37116097
168,0.1796421592,0.179445307,0.98377563,0.0261028189,45.45832675,31.55901223
169,0.1800204043,0.179793488,1.003422652,0.01418816258,45.72891203,31.7468635
170,0.179102593,0.1788601413,1.000824792,0.02761275257,45.99949731,31.93471476
171,0.1794001412,0.1791603724,0.983046002,0.02362200414,46.27008258,32.12256602
172,0.1780395225,0.1778339817,0.9809744,0.006755241015,46.54066786,32.31041728
173,0.1777282098,0.1775628662,1.010422895,0.03465761821,46.81125314,32.49826855
174,0.175841405,0.1757015842,0.9953623982,0.01208920463,47.08183842,32.68611981
175,0.1736839157,0.1735545726,0.9836006405,0.02994132953,47.3524237,32.87397107
176,0.1722053676,0.1720859019,1.011388843,-0.02182036451,47.62300898,33.06182234
177,0.1725707951,0.172408164,1.002305126,0.0536041908,47.89359425,33.2496736
178,0.1701158528,0.1699332155,0.9860760657,0.01156721006,48.16417953,33.43752486
179,0.1690708814,0.1688895454,0.9253218717,-0.03591643072,48.43476481,33.62537613
180,0.168329303,0.1681949451,0.9831427985,-0.0136409309,48.70535009,33.81322739
181,0.166235292,0.1661381414,0.9853763156,0.001903065427,48.97593537,34.00107865
182,0.1643007183,0.1642140848,0.9687731553,-0.01519825501,49.24652065,34.18892992
183,0.1615755461,0.1615065389,0.9718123392,0.05289625815,49.51710592,34.37678118
184,0.1601444606,0.160099617,0.9923835019,0.004105311451,49.7876912,34.56463244
185,0.1595473394,0.1594917118,0.9642963226,-0.02513595456,50.05827648,34.75248371
186,0.1577535547,0.1577028018,1.00281979,-0.01149559757,50.32886176,34.94033497
187,0.156881486,0.1568417949,0.9919189919,0.04297918106,50.59944704,35.12818623
188,0.155554933,0.1555244794,1.000790196,0.03884835336,50.87003232,35.3160375
189,0.15374274,0.1537257565,0.9867149624,0.05120063526,51.14061759,35.50388876
190,0.1518198182,0.1517895978,0.9969049489,0.001352551553,51.41120287,35.69174002
191,0.1517299796,0.1517142026,0.9744278211,-0.02487117393,51.68178815,35.87959129
192,0.1492866463,0.149277728,1.003916457,-0.001426319434,51.95237343,36.06744255
193,0.1471763118,0.1471563012,0.9829331933,-0.0003578042066,52.22295871,36.25529381
194,0.1469106792,0.146892186,0.9796593588,-0.008883221724,52.49354398,36.44314508
195,0.1458621286,0.145835024,0.9817522457,-0.0003787548005,52.76412926,36.63099634
196,0.146339793,0.1463339377,1.016255484,0.03437303938,53.03471454,36.8188476
197,0.1441352913,0.1441089311,1.007545453,0.01399763643,53.30529982,37.00669887
198,0.1418292532,0.1418154122,0.9657931991,-0.003265703696,53.5758851,37.19455013
199,0.1394844318,0.1394803819,0.9876162786,-0.01968243093,53.84647038,37.38240139
200,0.1388050353,0.1387644744,0.9497157609,-0.02521994263,54.11705565,37.57025266
